ArtistID,Popularity,Followers,Alias,Genre
19eLuQmk9aCobbVDHc6eek,73,2370957,Louis Armstrong,"{'adult standards', 'dixieland', 'harlem renaissance', 'jazz trumpet', 'new orleans jazz', 'swing', 'vocal jazz'}"
2h93pZq0e7k5yf4dywlkpM,84,8362928,Frank Ocean,"{'alternative r&b', 'hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop'}"
73sIBHcqh3Z3NyqHKZ7FOL,80,8368712,Childish Gambino,"{'atl hip hop', 'hip hop', 'pop rap', 'rap'}"
6Mo9PoU6svvhgEum7wh2Nd,60,792940,Public Enemy,"{'conscious hip hop', 'east coast hip hop', 'gangster rap', 'golden age hip hop', 'hardcore hip hop', 'hip hop', 'old school hip hop', 'political hip hop', 'rap'}"
0ECwFtbIWEVNwjlrfc6xoL,78,7210084,Eagles,"{'album rock', 'classic rock', 'country rock', 'folk rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock'}"
1eYhYunlNJlDoQhtYBvPsi,69,1785581,Ray Charles,"{'adult standards', 'classic soul', 'jazz blues', 'piano blues', 'soul', 'soul blues', 'vocal jazz'}"
22WZ7M8sxp5THdruNY3gXt,76,6210275,The Doors,"{'acid rock', 'classic rock', 'psychedelic rock', 'rock'}"
0du5cEVh5yTK9QJze8zA0C,90,34613222,Bruno Mars,"{'dance pop', 'pop'}"
3eqjTLE0HfPfh78zjh6TqT,78,4384519,Bruce Springsteen,"{'classic rock', 'heartland rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter'}"
6deZN1bslXzeGvOLaLMOIF,78,5341106,Nickelback,"{'alternative metal', 'canadian rock', 'nu metal', 'post-grunge'}"
51Blml2LZPmy7TTiAg47vQ,80,8884786,U2,"{'irish rock', 'permanent wave', 'rock'}"
1nJvji2KIlWSseXRSlNYsC,67,1419431,The Velvet Underground,"{'alternative rock', 'art rock', 'classic rock', 'folk rock', 'melancholia', 'permanent wave', 'protopunk', 'psychedelic rock', 'rock'}"
6kACVPfCOnqzgfEF5ryl0x,78,4939678,Johnny Cash,"{'arkansas country', 'outlaw country'}"
3oDbviiivRWhXwIE8hxkVV,75,3341520,The Beach Boys,"{'baroque pop', 'brill building pop', 'classic rock', 'psychedelic rock', 'rock', 'sunshine pop'}"
67ea9eGLXYMsO2eYQRui3w,72,4200921,The Who,"{'album rock', 'art rock', 'blues rock', 'british invasion', 'classic rock', 'hard rock', 'mellow gold', 'rock'}"
0k17h0D3J5VfsdmQ1iZtE9,81,15593406,Pink Floyd,"{'album rock', 'art rock', 'classic rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock'}"
3koiLjNrgRTNbOwViDipeA,76,4272824,Marvin Gaye,"{'classic soul', 'funk', 'indie r&b', 'motown', 'northern soul', 'quiet storm', 'soul'}"
0oSGxfWSnnOXhD2fKuz2Gy,80,7352681,David Bowie,"{'art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock'}"
43ZHCT0cAZBISjO8DG9PnE,79,5922252,Elvis Presley,"{'rock-and-roll', 'rockabilly'}"
6BH2lormtpjy3X9DyrGHVj,45,191344,Bob Marley,{}
5a2EaR3hamoenG9rDuVn8j,74,5607437,Prince,"{'funk', 'funk rock', 'minneapolis sound', 'synth funk'}"
776Uo845nYHJpNaStv1Ds4,74,5228323,Jimi Hendrix,"{'acid rock', 'album rock', 'blues rock', 'classic rock', 'hard rock', 'psychedelic rock', 'rock'}"
74ASZWbe4lXaubB36ztrGX,75,5319952,Bob Dylan,"{'classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter'}"
7guDJrEfX3qb6FEbdPA5qi,78,5294646,Stevie Wonder,"{'funk', 'motown', 'quiet storm', 'soul'}"
3WrFJ7ztbogyGnTHbHJFl2,87,20849958,The Beatles,"{'beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock'}"
6jJ0s89eD6GaHleKKya26X,86,19538238,Katy Perry,"{'dance pop', 'pop', 'post-teen pop'}"
5YGY8feqx7naU7z4HrwZM6,86,16355028,Miley Cyrus,"{'dance pop', 'pop', 'post-teen pop'}"
5Y5TRrQiqgUO4S36tzjIRZ,78,2073943,Timbaland,"{'dance pop', 'hip hop', 'hip pop', 'pop', 'pop rap', 'urban contemporary'}"
3DiDSECUqqY1AuBP8qtaIa,80,9036289,Alicia Keys,"{'hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary'}"
3nFkdlSjzX9mRTtwJOzDYB,86,6635107,JAY-Z,"{'east coast hip hop', 'hip hop', 'rap'}"
0z4gvV4rjIZ9wHck67ucSV,82,2892878,Akon,{'dance pop'}
2jw70GZXlAI8QzWeY2bgRc,77,2798655,Nelly Furtado,"{'canadian latin', 'canadian pop', 'dance pop', 'pop', 'pop rap'}"
3aQeKQSyrW4qWr35idm0cy,81,3473828,T-Pain,"{'dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary'}"
0jnsk9HBra6NMjO2oANoPY,81,8259301,Flo Rida,"{'dance pop', 'miami hip hop', 'pop', 'pop rap'}"
6GMYJwaziB4ekv1Y6wCDWS,73,1378521,Soulja Boy,"{'atl hip hop', 'chicago bop', 'dance pop', 'dirty south rap', 'pop rap', 'rap', 'southern hip hop', 'trap', 'viral rap'}"
7dGJo4pcD2V6oG8kP0tJRR,93,48596722,Eminem,"{'detroit hip hop', 'hip hop', 'rap'}"
0fA0VVWsXO9YnASrzqfmYu,85,5190276,Kid Cudi,"{'hip hop', 'ohio hip hop', 'pop rap', 'rap'}"
4IJczjB0fJ04gs4uvP0Fli,74,1298866,Gym Class Heroes,"{'dance pop', 'pop rap'}"
5K4W6rqBFWDnAN6FQUkS6x,96,15392808,Kanye West,"{'chicago rap', 'rap'}"
6vWDO969PvNqNYHIOW5v0m,86,29149675,Beyoncé,"{'dance pop', 'pop', 'r&b'}"
3ipn9JLAPI5GUEo4y4jcoi,79,2245166,Ludacris,"{'atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap'}"
7sfl4Xt5KmfyDs2T3SVSMK,75,1195666,Lil Jon,"{'atl hip hop', 'crunk', 'dance pop', 'dirty south rap', 'pop rap', 'southern hip hop'}"
23zg3TcAtWQy7J6upgbUnj,82,9106804,Usher,"{'atl hip hop', 'dance pop', 'pop', 'r&b', 'south carolina hip hop', 'urban contemporary'}"
1Cs0zKBU1kc0i8ypK3B9ai,90,23294653,David Guetta,"{'big room', 'dance pop', 'edm', 'pop', 'pop dance', 'pop rap'}"
04gDigrS5kc9YWfZHwBETP,89,33406760,Maroon 5,"{'pop', 'pop rock'}"
1XkoF8ryArs86LZvFOkbyr,73,2852080,Mary J. Blige,"{'dance pop', 'hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary'}"
4P0dddbxPil35MNN9G2MEX,71,1460225,Cypress Hill,"{'chicano rap', 'gangster rap', 'hip hop', 'rap', 'rap rock', 'west coast rap'}"
2DlGxzQSjYe5N6G9nkYghR,79,10795320,Jennifer Lopez,"{'dance pop', 'pop', 'pop rap', 'urban contemporary'}"
46lnlnlU0dXTDpoAUmH6Qx,62,83901,Lou Bega,{'latin pop'}
7GXXMm3DB1VswVcuGyInUd,59,351027,Vanilla Ice,"{'hip house', 'miami hip hop'}"
2rblp9fJo16ZPTcKDtlmKW,62,445537,MC Hammer,"{'hip hop', 'hip house', 'new jack swing', 'rap'}"
7hJcb9fa4alzcOq3EaNPoG,85,7321163,Snoop Dogg,"{'g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap'}"
26dSoYclwsYLMAKD3tpOr4,83,9830540,Britney Spears,"{'dance pop', 'pop', 'post-teen pop'}"
4tZwfgrHOc3mvqYlEYSvVi,82,8298314,Daft Punk,"{'electro', 'filter house'}"
0cwmNvclzPd8mQnoHuIksj,66,302846,Vengaboys,"{'bubblegum dance', 'dance pop', 'eurodance', 'europop'}"
