7oPftvlwr6VrsViSDV7fJY - Green day
1ZwdS5xdxEREPySFridCfh - 2Pac
5me0Irg2ANcsgc93uaYrpb - The Notorious B.I.G.
1HY2Jd0NmPuamShAr6KMms - Lady Gaga
5vngPClqofybhPERIqQMYd - George Strait
4dpARuHxo51G3z768sgnrY - Adele
5cj0lLjcoR7YOSnhnX0Po5 - Doja Cat
6eUKZXaKkcviH0Ku9w2n3V - Ed Sheeran
7jVv8c5Fj3E9VhNjxT4snq - Lil Nas X
4gzpq5DPGxSnKTe4SA8HAU - Cold Play
3Nrfpe0tUJi4K4DXYWgMUX - BTS
2LIk90788K0zvyj2JJVwkJ - Jack Harlow
2tIP7SsRs7vjIcLrU85W8J - The Kis LAROI
4yvcSjfu4PC0CYQyLy4wSq - Glass Animals
3PhoLpVuITZKcymswpck5b - Elton John
6M2wZ9GZgrQXHCFfjv46we - Dua Lipa
1uNFoZAHBGtllmzznpCI3s - Justin Bieber
1Xyo4u8uXC1ZmMpatF05PJ - The Weeknd
4q3ewBCX7sLwd24euuV69X - Bad Bunny
1dfeR4HaWDbWqFHLkxsg1d - Queen
711MCceyCBcFnzjGY4Q7Un - AC/DC
3qm84nBOXUEQ2vnTfUTTFC - Guns N’ Roses
7Ey4PD4MYsKc5I2dolUwbH - Aerosmith
4Z8W4fKeB5YxbusRsdQVPb - Radiohead
0rvjqX7ttXeg3mTy8Xscbt - Journey
08GQAI4eElDnROBrJRGE0X - Fleetwood Mac
6olE6TJLqED3rqDCT0FyPh - Nirvana
4F84IBURUo98rz4r61KF70  - The White Stripes
5NGO30tJxFlKixkPSgXcFE - The Police
36QJpDe2go2KgaRleHCDTp - Led Zeppelin
0L8ExT028jH3ddEcZwqJJ5 - Red Hot Chili Peppers
22bE4uQ6baNwSHPVcDxLCe - The Rolling Stones
5M52tdBnJaKSvOpJGz8mfZ - Black Sabbath
7t0rwkOPGlDPEhaOcVtOt9 - The Cranberries
4lxfqrEsLX6N1N4OCSkILp - Phil Collins
2BTZIqw0ntH9MvilQ3ewNY - Cyndi Lauper
3fMbdgg4jU18AjLCKBhRSm - Michael Jackson
6XpaIBNiVzIetEPCWDvAFP - Whitney Houston
"4QQgXkCYTt3BlENzhyNETg - Earth, Wind & Fire"
0LcJLqbBmaGUft1e9Mm8HV - ABBA
6H1RjVyNruCmrBEWRbD0VZ - Def Leppard
6zFYqv1mOsgBRQbae3JJ9e - Billy Joel
6IFXsrXBpwbIqtOUOiAa3p - Rick Springfield
32vWCbZh0xZ4o9gkz4PsEU - Dolly Parton
7wqtxqI3eo7Gn1P7SpP6cQ - Salt-N-pepa
5lpH0xAS4fVfLkACg9DAuM - Wham!
6tbjWDEIzxoDsBA1FuhfPW - Madonna
2cnMpRsOVqtPMfq7YiFE6K - Van Halen
