ID,Label
166,UNICADE music
165,Ariola Express
164,Ariola
163,Electrola
162,Parlophone Catalogue
161,SBK/EMI RECORDS
160,Republic
159,Liquid 8 Records
158,Ultrax Records
157,X-Ray Records
156,Radium Records Inc.
155,EMI/EMI Records (USA)
154,Giant
153,Zero Live
152,Dundridge Entertainment / Unlimited Business
151,Stones Throw Records
150,Dundridge Entertainment/Unlimited Business
149,Felder Entertainment Inc.
148,Ca$h Machine Records
147,All The Time Entertainment
146,Doggystyle Records / EMPIRE
145,Doggy Style Records
144,Daft Life Ltd./ADA France
143,EMI France
142,Breakin' Records/Violent Music BV
141,Death Row Records
140,Aftermath
139,Dr. Dre LP3 PS
138,Embassy of Music
137,"Ranch Entertainment, Inc."
136,"Mr. Luva Luva, Inc."
135,Universal Music Division Polydor
134,BMG Rights Management (US) LLC
133,Overbrook/Interscope
132,Def Jam Recordings
131,Virgin Records
130,Jive
129,"K-BAHN, LLC / BMG Rights Management"
128,"K-BAHN, LLC / BMG Rights Management (US) LLC"
127,Sony Music Labels Inc.
126,Good Ship Funke
125,ROXVOX
124,"Boy Toy, Inc., Exclusively licensed to Live Nation Worldwide, Inc. Exclusively licensed to Interscope Records"
123,Special Products
122,Mercury Records
121,London U.S.
120,Gusto Records
119,Dolly Records
118,Universal Music Australia Pty. Ltd.
117,Masterworks
116,Mistral Music Sounds
115,RCA Records Label Nashville
114,Butterfly Records/Warner Records
113,RCA Records Label
112,Intersound
111,Rdeg
110,Sonic Past Music
109,Golden Core
108,Suite 102
107,Rick Springfield
106,Loud & Proud Records
105,Wizard Records
104,Frontiers Music s.r.l
103,August Day
102,Wet Music
101,Legacy/CBS/Sony
100,Bludgeon Riffola/Mailboat Records
99,Ward Records Inc.
98,Sheer Sound
97,Polar Music International AB
96,avex trax
95,Sanctuary Records Group Limited / Bailey Entertainment Group Inc./ Maurice White
94,Kalimba Music
93,Discos CNR
92,ToneMaster
91,EC CONNEXION
90,Sony Music Entertainment
89,Freefall Records
88,Motown
87,Sutra
86,UNI/MOTOWN
85,Epic/MJJ
84,Epic/Daylight
83,EMI Mexico
82,Megaforce
81,Epic/Legacy
80,Walt Disney Records
79,Universal-Island Records Ltd.
78,Island Def Jam
77,LAB 344
76,Vertigo Berlin
75,Virgin Records (India) Pvt Ltd.
74,Concert Live Ltd
73,BMG Rights Management (UK) Ltd.
72,Island Records
71,EMI Records
70,Epic
69,Sanctuary Records
68,Eagle Rock
67,Capitol Records
66,ICONOGRAPHY
65,Atlantic Records
64,Polydor Associated Labels
63,A&M
62,Coqueiro Verde Records
61,Legacy Recordings
60,Third Man Records/Legacy
59,DGC
58,Ryko/Rhino
57,Rhino/Warner Records
56,Sony Music CG
55,Go Faster Records
54,Frontiers Records
53,NOMOTA LLC under exclusive license to Frontiers Records
52,Nomota LLC
51,Blue Cactus
50,Smokin' Badger
49,SOUNDSTAGE
48,King Street
47,Geffen
46,Columbia/Legacy
45,Hollywood Records
44,Universal Music Latino / Rimas
43,Rimas Entertainment LLC
42,Universal Republic Records
41,Republic Records
40,RBMG/Def Jam
39,Urban
38,Warner Records
37,Angel Records
36,Virgin EMI
35,Macmillan
34,Lebowski
33,UMC (Universal Music Catalogue)
32,EMI
31,Wolf Tone
30,Polydor Records
29,Universal Music LLC
28,BIGHIT MUSIC / HYBE
27,Parlophone UK
26,Columbia
25,Gingerbread Man Records
24,Atlantic Records UK
23,MAU Records
22,Kemosabe Records/RCA Records
21,XL Recordings
20,Wrasse Records
19,MCA Nashville
18,Streamline/Columbia/Interscope
17,A Star is Born OST
16,Interscope Records
15,Interscope
14,Columbia Records/Interscope Records
13,Bad Boy Records
12,Rhino
11,Rhino Atlantic
10,Amaru
9,Shock Entertainment
8,Mercury Studios
7,2Pac - Pac's Life
6,eOne Music
5,Real Talk Entertainment
4,Vtribe Media/Affiliated/Modulor
3,Strapz
2,Reprise
1,Hobo's Moneybag Inc.
0,professional corporate records
